,HotelName,HotelAddress,HotelRating,ReviewDate,ReviewRating,ReviewTitle,ReviewText
16,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,2.8,호텔을 다녀와서,오래되었지만 위치가 주는 매력은 있어요 하지만 실망하실 수 있어요 오래되고 리모델링이 필요한 호텔이지요
17,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,10.0,가성비 굿,조리도구들이 잘 갖춰져 있어서 음식 해먹기도 좋고 넓게 잘 쉬다갑니다
18,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,10.0,자주 이용하는 곳인데 좋아요,시설이나 위치가 정말 좋습니다
19,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-01,10.0,좋네요,오래되서 갈까말까 고민하다가 별수 없이 왔는데 되게 좋네요 다음에도 또 오고싶습니다 ~
20,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-01,10.0,좋았습니다.,시설이 낡고 소음이 꽤 있었습니다. 하지만 위치 좋고 테이블이나 쇼파 등 편의시설이 괜찮더라구요. 실내가 밝아서 좋았구요. 환경보호 의미에서 치약칫솔은 없앴는데 어메니티는 있더라구요. 어메니티는 별로였습니다.
21,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-01,10.0,소음만 빼면 괜찮아요,소음이 조금 거슬리지만 괜찮게 이용했습니다
22,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-01,10.0,좋아요,편안하게 지내고 갑니다.
23,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-01,10.0,좋아요,눈내린 경복궁 전망이 좋네요.
24,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-01,10.0,좋아요,겨울엔 방이 온돌이라 따뜻해서 좋습니다.
25,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-01,10.0,아주 만족합니다.,저렴한 가격에 좋은 방으로 푹 쉬다 왔습니다. 아주 만족합니다.
26,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-01,10.0,좋아요,가족여행.....
27,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,8.4,업무차 연박,코로나로 연말에도 조용하네요..출장자들에게 추천
28,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,8.4,업무용 투숙,일반 호텔과는 다른 분위기..여행및 레저용보다는 업무용 투숙자에게 적합합니다.ㅡ
29,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,8.0,시내 중심가 비지니스,시내 중심가에 업무보기 좋은위치..시설은 다소 오래된 듯
30,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,10.0,아주 좋았습니다,서비스도 만족스러웠고 내부에 있는 식기들도 요리해먹기 용이했습니다.
31,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,10.0,광화문에 있어요,광화문광장에 주말마다 갈때마다 묵었던 곳이에요 나름 편하고 좋아요
32,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,8.4,출장,업무 출장으로 이용..시설은 좀 오래 되었으나 유지 보수는 잘 되있는 듯함
33,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,8.4,업무 출장 이용,시내에 업무 보기가 용이합니다
34,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,8.4,비지니스 용도 만족,위치가 좋슴니다..중심가 비지니스 있는 경우 추천함
35,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,8.4,교통 편리,강북 중심가에 접근하기 용이함
36,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,8.4,중심가 비지니스,시내 업무 보기 좋은 위치
37,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,8.4,업무출장 적합,중심가에 접근하기 좋음
38,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,8.4,위치,시내 업무보기에 적합한 위치..
39,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,10.0,편히 쉬다갑니다,편히 쉬다 갑니다 이것 저것 잘구비 돼있어 편리하게 잘쓰고 갑니다 가성비는 굿
40,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,10.0,편히 쉬다갑니다,편히쉬다갑니다 출장때 자주 이용하는 곳인데 편히 쉬다갑니다
41,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,10.0,좋습니다,편안히 잘 지내고 왔습니다 주방시설이 깔끔하게 잘 되어있어 방콕하기 좋아요 메이드님들도 친절해요
42,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,10.0,뷰를 포기하면 좋아요,편안히 잘 지내고 왔습니다 주방시설이 깔끔하게 잘 되어있어 방콕하기 좋아요 메이드님들도 친절해요
43,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,9.6,편안하게 지냈어요,편안히 잘 지내고 왔습니다 주방시설이 깔끔하게 잘 되어있어 방콕하기 좋아요 메이드님들도 친절해요
44,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-12,8.8,잘 머물다 왔습니다~,"친구와 함께 우정 여행을 하였는데, 무엇보다 넓직한 방과 조리할 수 있는 시설이 갖추어져 있어 외식하지 않고 안에서 먹기에 너무도 좋았습니다. 체크인도 12시까지로 넉넉하여 오전까지 충분히 휴식을 취하고 체크아웃하였습니다. 감사합니다."
45,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-11,10.0,컨디션 좋음곳,교통 편하고 객실 컨디션 좋은곳 입니다.
46,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-11,10.0,좋아요,집주변 공사로 시끄러워 편히 쉴수 없을때 가끔 이용합니다 카펫이 안깔려 있어서 좋고 취사시설이 되어있어 간단히 라면 끓여먹기 편리합니다
47,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-11,9.2,"깔끔, 따뜻",집주변 공사로 시끄러워 편히 쉴수 없을때 가끔 이용합니다 카펫이 안깔려 있어서 좋고 취사시설이 되어있어 간단히 라면 끓여먹기 편리합니다
48,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-11,8.4,체크인이 불편한거 말고는 좋아요,경복궁 가기에는 위치가 좋아요 오래됐지맘 깨끗하고 넓고 다만 체크인이 너무 오래 걸리고 조식은 정말 기대도 안했지만 진짜 별로에요 아이가 있어서 먹긴 했는데 조식의 적정가는 1.5천원정도면 적당한 수준입니다 바나나도 없고 베이컨도 없고
49,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-11,9.2,서머셋 팰리스,위치는 너무 좋았습니다. 광화문 경복궁 삼청동가기에 최적의 위치 하지만 오래된 호텔이라 난방이 안되는건지 온도를 올려도 안따뜻해져서 32개월 아이와 감기가 걸려서 왔네요 ㅜㅜ
50,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-11,10.0,가족 호캉스,스위트로 업그레이드 해주셔서 엄청 넓게 지내다 왔어요^^ 깔끔합니다 바닥이 마루라 아이 데리고 가기 좋아요
51,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-10,8.4,전체적으로 친절하고 깔끔함,홀부터 복도까지 전체적으로 깔끔해요. 룸은 좀 눅눅한 냄새가 나고 싱크대물은..... 무엇보다 룸이 좀 추웠어요. 룸컨디션이 별로라 다시 방문은 안할꺼 같아요
52,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-10,10.0,도심속에서 친구랑 놀고 쉬기 딱 좋은 호텔이에요!,가격도 좋고. 룸도 깔끔하고 괜찮았어요!
53,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-10,7.6,가성비 좋은 호텔,친구들과 갑작스럽게 저녁먹다가 가게되었어요. 오래되었지만 위치나 가격대비는 좋았어서 너무 잘 놀다가 왔네요. 3명이라 일반 호텔 대비는 더블1싱글1 이 있고 객실이 넓어서 정말 편하게 놀다왔네요. 호텔은 좋았는데 인터파크 사용성이 엉망이라 날짜를 잘못예약했어서 두번 결제될 뻔 했는데 다행히 체크아웃 날 상담원과 연결되서 취소됐네요. 한번 날짜 셋팅한 다음 호텔명 검색해서 선택하면 다시 날짜가 디폴트 날짜로 바뀝니다.ㅜㅜ 수정좀 해주세요.
54,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-10,10.0,좋아요,방도 넓고 편안하게 쉬다 갑니다.
55,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-10,10.0,좋아요,가성비 좋고 위치도 좋아요.
56,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-10,10.0,좋아요,서울오면 늘 이용하는 곳입니다.
57,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-10,10.0,편히 쉬다갑니다,편히 쉬다 갑니다 청결하고 직원도 친절하고 편히 쉬다갑니다
58,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-10,8.4,좋은 위치이고 넓은 레지던스형,넓어서 쾌적했어요. 외국인 손님들이 많은 편이구요. 일층에 레스토랑이 분위기가 너무 좋네요. 근처에 관광지도 많고용
59,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-10,10.0,가성비 좋은 호텔입니다,"지난 번 이그제큐티브 트윈에 묵었었는데 디럭스랑 가구 배열은 비슷하지만 객실 크기가 좀 차이가 났습니다. 도보로 국현 미술관과 북촌, 삼척동 다 다닐 수 있다는 게 제일 큰 이점입니다. 다만 저번에는 전자레인지가 작동되지 않았는데 이번에는 전화가 아예 불통(전원 연결이 되지 않는 듯한테 상자로 고정해놔서 연결 확인 불가능)이어서 불편했습니다. 위에 객실에서 아이들이 묵었는지 밤 12시 넘게까지 뛰어 다녀서 전화해야 했는데 결국 주의를 주셨는데도 체크 아웃 때까지 쿵쿵 소리는 계속 되었습니다. 앞으로는 아이들 있는 객실은 낮은 층이나 아래는 비워주시는 게(객실이 여유롭다면) 좋을 것 같습니다. 쾌적한 여행이었는데 이게 큰 흠이었습니다."
60,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-10,6.4,가격대비 나쁘지 않아요,서머셋팰리스의 호텔 답지 않은 대기 체크인은 지난번에 겪어봐서 그건 무시하고 가격대비 조건이 나쁘지 않아요
61,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-10,7.6,괜찮았어요,서머셋팰리스의 호텔 답지 않은 대기 체크인은 지난번에 겪어봐서 그건 무시하고 가격대비 조건이 나쁘지 않아요
62,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-10,9.2,건물로 가리는 룸만 피한다면 좋음,"친절도: 제일 나이들고 오래된 매니저 남자 (안경, 가발) 가 딱딱하고 고자세 , 말투는 친절한척 하지만 불친절 문제발생시 대처는 불친절 단점: 스탠다드는 티비가 매우 작다 모니터인줄 왜 교체안하는지 의아할정도 자막은 보이지도 않는 소스몰 비데없음 오래되서 세탁세제있음 굿 모든방에 욕실 굿 요즘 왜이렇게 비싸지?"
64,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-10,10.0,만족스럽습니다,위치도 좋고 만족스럽습니다
65,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-09,10.0,좋아요.,전망 좋고 날씨도 좋아서 호텔에서 밖만 바라봐도 행복했습니다. 코로나가 빨리 종식되길...
66,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-09,10.0,좋아요,"방도 넓고 , 동네 산책하기도 좋아요."
67,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-09,10.0,좋아요,이번엔 방전망이 좋았습니다. 다만 나무 바닥이 들떠있어서 보수가 필요해 보이네요.
68,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-09,10.0,좋아요,전망도 좋고 위치도 좋고 방 크기도 커서 서울올때면 이용하는 곳입니다. 직원들도 친절하고 가성비 최고.
69,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-09,9.6,"직원분들 친절, 인사동 접근성 좋음",직원분들 친절하셔서 좋았구요. 인사동과 가까워 이곳저곳 구경하기 좋았어요. 시설은 다소 오래되어서인지 아쉬움이 쪼끔 있었지만 room이 넓어 좋았어요. 야외수영장만 이용할수 있었음 정말 좋았을듯요. ^^
70,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-09,8.4,도시여행 추천,광화문 앞 위치와 잘 빠진 방 구조로 푹 쉬다왔어요 도시여행지로 추천
71,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-09,10.0,답답한 일상 속 일탈이었어요,친구와의 만남을 거의 못하고 있다가 1박2일을 급 질러서 예약했어요. 객실 업그레이드로 쾌적하게 잘 놀다 갑니다. 감사합니다.
72,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-09,7.2,재방문의사 없..,"남자친구랑 간단히 해먹을겸 선택했습니다. 개인적으로 예민한 부분이 있어 시설 노후의 문제가 아닌 청결문제로 재방문 의사는 없습니다. 카드키 데려는데 지저분한 뭔가가 굳은 듯한 얼룩덜룩한 쇠판 부분, 손닦으러 들어간 욕실 욕조에 떨어진 긴 머리카락을 보자 기분이 썩 쫗지 않았습니다. 대부분의 식기에 이물질이 있었고.. 전체적으로 무슨느낌이였냐면 오랫동안 방치되어 관리 안된 룸 같았습니다. 대체적으로 아쉬웠습니다."
73,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,6.8,위치가좋아요,위치가 좋아서 인사동 경복궁 코로나심하지만않으면 돌아다닐텐데.아쉽네요.수영장도 있으나 이용안했어요..코로나땜시..호텔방에만 있었어요~~바닦 청소만신경써주시면 좋을텐데..먼지 머리카락좀 발견되네요.
74,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,8.0,오래됐지만 위치가 좋습니다,"객실이 오래된 느낌을 감출 수 없지만 깔끔하고 다른 호텔에 비해 넓은 편입니다. 하지만 (아주 오래된 것으로 보이는) 전자레인지가 되지 않아 불편했습니다. 교체가 필요해 보입니다. 그래도 무엇보다 인사동, 삼척동, 북촌을 다 걸어서 돌아볼 수 있어 좋았습니다."
75,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,6.0,직원들이 영어를 다시 배웠으면 하는 호텔,저렴한 가격이라 그런지 직원들의 서비스 마인드도 저렴~ 체크인 하려고 2시간 기다렸는데 (두시간을 기다려야 할줄 상상도 못했다) 호텔의 완벽한 대기 알림 서비스가 있기에 2시간동안 니들이 알아서 놀고오면 되지 왜 의자도 충분치 않은 로비에서 굳이 기다리냐며 개당당함 외국인의 항의에도 매니저급 직원조차 위아쏘리벗유슈드웨이트 라고 명령함 너무 부끄러웠음 체크인 인원이 많을꺼 예약 명단 보면 알텐데 미리 대비해야하는게 호텔아님? 아...엘베에서 마스크 안한 직원이 당당하게 탔음 ㅋㅋㅋㅋㅋㅋ 정말 저렴할때 싼맛에만 이용할 호텔
76,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,6.4,서비스 마인드가 없는 호텔,저렴한 가격이라 그런지 직원들의 서비스 마인드도 저렴~ 체크인 하려고 2시간 기다렸는데 (두시간을 기다려야 할줄 상상도 못했다) 호텔의 완벽한 대기 알림 서비스가 있기에 2시간동안 니들이 알아서 놀고오면 되지 왜 의자도 충분치 않은 로비에서 굳이 기다리냐며 개당당함 외국인의 항의에도 매니저급 직원조차 위아쏘리벗유슈드웨이트 라고 명령함 너무 부끄러웠음 체크인 인원이 많을꺼 예약 명단 보면 알텐데 미리 대비해야하는게 호텔아님? 아...엘베에서 마스크 안한 직원이 당당하게 탔음 ㅋㅋㅋㅋㅋㅋ 정말 저렴할때 싼맛에만 이용할 호텔
77,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,4.8,직원태도 정말 별로입니다,저렴한 가격이라 그런지 직원들의 서비스 마인드도 저렴~ 체크인 하려고 2시간 기다렸는데 (두시간을 기다려야 할줄 상상도 못했다) 호텔의 완벽한 대기 알림 서비스가 있기에 2시간동안 니들이 알아서 놀고오면 되지 왜 의자도 충분치 않은 로비에서 굳이 기다리냐며 개당당함 외국인의 항의에도 매니저급 직원조차 위아쏘리벗유슈드웨이트 라고 명령함 너무 부끄러웠음 체크인 인원이 많을꺼 예약 명단 보면 알텐데 미리 대비해야하는게 호텔아님? 아...엘베에서 마스크 안한 직원이 당당하게 탔음 ㅋㅋㅋㅋㅋㅋ 정말 저렴할때 싼맛에만 이용할 호텥
78,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,4.8,위치만 좋습니다,저렴한 가격이라 그런지 직원들의 서비스 마인드도 저렴~ 체크인 하려고 2시간 기다렸는데 (두시간을 기다려야 할줄 상상도 못했다) 호텔의 완벽한 대기 알림 서비스가 있기에 2시간동안 니들이 알아서 놀고오면 되지 왜 의자도 충분치 않은 로비에서 굳이 기다리냐며 개당당함 외국인의 항의에도 매니저급 직원조차 위아쏘리벗유슈드웨이트 라고 명령함 너무 부끄러웠음 체크인 인원이 많을꺼 예약 명단 보면 알텐데 미리 대비해야하는게 호텔아님? 아...엘베에서 마스크 안한 직원이 당당하게 탔음 ㅋㅋㅋㅋㅋㅋ 정말 저렴할때 싼맛에만 이용할 호텥
79,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,10.0,호캉스 최고,가성비대만족입니다 친절하고좋아요 하지만 코로나때문에 피트니스 등 이용힘들어요 호텔은 화려하진않지만 넓고 좋습니다 연인보다 친구나 가족끼리 묶고가기 너무좋을것같아요
80,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,10.0,만족합니다,비록 1박2일이었지만 짧게나마 호캉스를 누렸네요 코로나 걱정없이 맘껏 즐길 수 있는 그 날이 다시 오길 기원하며...
81,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,7.2,가성비 우수,우선 위치면에서 좋고요 크기대비 가성비가 좋았습니다 일부 직원분들 때문에 마음이 상했는데요 로비 남자화장실 청소직원분 체크인전이라 로비 화장실을 이용했는데 화장실에 볼일이 늦어지니... 왜 이렇게 안나오냐며 밖에서 얘기하시는데 민망해서 혼났네요 외부인원들이 많이 이용해서 짜증이 나시는건지...그런얘기는 속으로 좀 해주시고 서비스교육 내부에서 제대로 해주셨음 합니다 수영장 직원분 일하기 싫으신지 핸드폰만 만지시고 이용관련 질문에 답은 하시나...다 적혀있다는 식의 퉁명함..이 호텔은 직원 서비스교육 안하시는건지...다시 한번 느꼈고요 그외 다른직원분은 친절하셨기에 일부 직원분들 말씀 하실때 조금 더 신경써주심 좋을듯 합니다 그럼에도 호텔은 서울나들이에 최적이니 다시 한번 찾을 예정이고요 위 부분은 꼭 개선되면 좋겠네요
82,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,8.0,가성비 좋아요,"시설대비 가격이 너무 좋네요 방도 넓직하고요, 옥상에 수영장이 작긴 하지만 가볍게 물놀이 하기 좋아요 피크니스도 기구가 필요한건 갖추고 있어서 괜찮았어요. 사우나 박스가 있어서 편하게 이용가능하고요 단점이라고 할만한건 지하 주차장이 냄새가 좀.. 이외에는 만족스럽게 지내다 왓어요"
83,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,6.0,객실컨디션,객실 컨디션은 가격대비 아주좋아요.좀 깨끗하게청소만 신경써 주시면~만족합니다.식탁에 머리카락이있어서 다시닦았어요.직원은 둘만인포에있어서 좀 모자란듯합니다
84,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,10.0,이런곳이 있다니 신기방기,위치 굿 수준있는 호텔 내 레스토랑 넓은 객실에 레지던스 객실 내 시설이 오래되긴 했지만ㅡ 쏘쏘함 부디 체크인 시스템만 개선되길 1시간 넘게 기둘림
85,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,9.6,호캉스는 즐거웠습니다 그러나!,인터파크로 예약하고 두번째 방문입니다. 가격대비 시설 위치 너무 만족하구요. 룸 컨디션도 저만하면 너무 좋아요. 그런데 예약페이지에 분명히 수영장 올해 개방안한다고 써있었는데 (캡쳐 가지고 있습니다.) 체크인때 수영장 개방했다고 해서 조금 얼빠졌네요... 코로나때문에 수영장 어차피 안가려고 했지만 안가는거랑 못가는건 다르잖아요 ㅠㅠㅠ 아무튼 그래서 별 하나 뺐어요. 가실분들은 참고하세요~
86,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,10.0,즐겁고 안락한 서머셋,호텔 내 식당을 이용하는 등 많이 가봤지만 한 번도 묵어본적 없었는데 이번에 묵게 되었네요. 레지던스 호텔인만큼 갖출 것 다 갖췄고 직원들은 친절하고 모든 것이 다 좋았습니다.
87,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,9.6,근처 볼거리 먹을거리 많은 레지던스,"위치가 여기저기 돌아다니면서 즐길 수 있는 레지던스로 그 안에 살바토르, 크리스탈제이드, 씨유까지 있어서 굳이 멀리 안가도 다 해결. 인사동, 삼청동, 광화문, 종로, 시청까지 갈데가 넘 많아 더 있고 싶었어요. 또 가려구요."
88,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,9.6,가깝고 편안한 후가,"생일, 결혼 기념으로 가까운 곳에서 휴식을 취하려고 열심히 찾다가 결정한 써머셋 팰리스! 좀 오래된 숨결이 있지만 깨끗하게 관리된 레지던스로 주면 볼거리 먹거리도 많고 좋았어요. 가까운 곳, 돌아다니기 좋은 곳을 찾는다면 여기로 정하세요."
89,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,8.4,"가족들이랑 호캉스하기 좋은, 가성비 좋은 호텔!","일행이 추가되어 유료로 업그레이드하여 약간 고층을 받았습니다. 일요일에 묵어 체크인에 다소 시간이 걸렸습니다. 직원분들은 나름대로 친절하게 응대하시더라구요, 나름대로. 숙박시에 24시간 무료주차라는 것, 레지던스 형이라 그런지 가격대비 넓다는 것, 위치가 인사동이라는 것은 무척 큰 장점입니다. 화장실이며 냉장고며 2개씩 충분해서 여러 가족들이 있어도 괜찮을 것 같습니다. 층간소음 같은 것은 못느꼈습니다. 객실이 많아서인지 사람들이 많이 묵어도 사람이 많다는 느낌을 못받았습니다. 콘센트가 많은 것도 장점이네요. 비가 오는 날 묵어서인지 몰라도 전체적으로 시원했고요 에어컨을 틀면 추울 정도였습니다. 어매니티는 별로 좋지 않아서 비누만 사용했습니다. 가급적 따로 갖고오시거나 인근에서 구입하는 걸 추천합니다. 시설은 전체적으로 만족스러우나 서비스적인 측면에서 직원들 끼리 전달이 잘 되지 않는 것, 응대시 말투가 좀... 손님을 가르치려는 말투는 좀 거슬립니다. 주차등록 건에 대해 직원마다 말이 다른 것도 문제입니다. 여름이고 주말즈음이라 사람이 많아 이해는 합니다만 손님은 학생이 아니라는 것, 직원들에게 같은 사항에 대해서 동일한 안내를 받고 싶다는 것은 호텔에서 교육이 필요하겠죠."
90,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,6.8,써머셋,위치가 좋고 주변이 조용해서 편안합니다 단 시설이 조금 노후되어 아쉽네요
91,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2020-08,4.6,불친절,"프론트 직원분들이 불친절합니다. 일반적인 호텔에서 제공하는 친절한 말투, 서비스를 기대하면 실망이 큰 것 같습니다. 호텔 웹사이트나 책자에 안내되어 있지 않은 부분이 많습니다. 비지니스룸 이용과 관련해서 안내가 불충분하여 프론트에 문의하였으나 퉁명스럽게 응대하고, 관련 부서로 직접 물어보라고 안내 받았습니다. 다른 담당자에게 요청해서 비지니스 라운지를 예약했으나 예약시간에 문이 닫혀있었고, 직원에게 문의해보니 예약이 안되어 있었습니다. 미팅 시간이 다가오는데도 예약 확인만 하고 있어, 컴퓨터와 프로그램 켜두고 대기하다가 극적으로 미팅시간 1분전 문을 열어주어 들어갔습니다. 미팅 중에는 직원분이 갑자기 들이닥치는 일이 발생했습니다. 제대로 된 사과도 없고 어떻게 된 상황인지 확인해봐야한다고만하는데, 직원분들의 응대가 하나같이 실망스럽습니다. 참고로 비지니스룸 사용은 무료 편의시설과 함께 적혀 있으나, 유료로 이용 가능합니다. 유료 서비스치고 서비스나 준비도가 너무 허술하네요."
