Column1,Column2,Column3
"객실 뷰도 너무 예쁘고 남산도 바로 보여서 좋아요 조식도 종류가 다양해서 맛있었고 좋았어요
직원분들도 모두 친절하시고 인사도 잘 해주시고 !
다음에 다시 한 번 와서 좋은 기억 쌓고 가고 싶네요","목포, 대한민국3 포스팅",리리이 리뷰를 작성했습니다. 2월 1일
"호텔도 최상, 직원 분들도 최상, 모든 게 최상이었습니다! 너무 깨끗하고 다음에 또 올 의향 100% 있습니다 ^_^ 역시 세계에서 알아주는 호텔답네요 !!",1 포스팅,jiji이 리뷰를 작성했습니다. 2월 1일
"호텔 내 시설도 좋았고 특히 조식이 맘에 들었습니다 ,,!
방 온도도 적당했고 화장실 시설도 저엉말 맘에 들었습니다 !
룸서비스도 좋았고 방음도 이 정도면 꽤 적당한 거 같아요","대전, 대한민국1 포스팅",이예진이 리뷰를 작성했습니다. 2월 1일
"1박 2일 짧은 시간동안 알찬 프로그램으로 행복한 추억 만들어주셔서 감사해요, 서비스직에 대한 동기부여도 더 됐을 뿐더러 다양한 정보를 얻을 수 있어서 좋았습니다!",1 포스팅,조나연이 리뷰를 작성했습니다. 2월 1일
"서울 롯데호텔을 이용 해 보았습니다.
서비스에는 상당히 만족하였습니다만, 객실 청소상태 특히 먼지가 많았다는 생각이였습니다. 프러트 직원이 정산시 불편한점 없었냐고 정말 친절하게 물어보아 좋앟다고는 하였습니다만, 청소는 좀더 신경을 써 주시면 감사하겠습니다.","영주, 대한민국1 포스팅",dongglee이 리뷰를 작성했습니다. 2021년 1월
"굿 초이스!!!!
비지니스 하러 서울 갔는데 이렇게 멋진 직원들은 처음입니다.
다들 잘생기고 이쁘시고 특히 친절한 미소가 롯데 이미지를 다시한번 상기시켜주네요.추천~",1 포스팅,smae이 리뷰를 작성했습니다. 2021년 1월
"날도춥고 코로나로 답답한 집콕생활만 하다가 제대로 힐링했습니다! 룸도 깨끗하고 생각보다 넓었구요 조식도 너무 맛있었어요~
친절하셨던 로비 직원분께도 감사드려요^^","동대문구, 대한민국1 포스팅",JanaKIM이 리뷰를 작성했습니다. 2021년 1월
"직원분들이 너무 친절하시고, 룸도 깔끔하고 쾌적해서 좋았습니다! 르살롱도 여유롭게 맛있게 이용할 수 있었습니다!! 잘 쉬다가요 감사합니다^_^","서울, 대한민국2 포스팅",Minkyung이 리뷰를 작성했습니다. 2021년 1월
"다들 서비스도 너무 친절하시고 룸도 깔끔해서 좋았습니다 르살롱도 정말 편안하고 맛있게 잘 이용했습니다
감사합니다 ????","서울, 대한민국2 포스팅",Minjoooooo이 리뷰를 작성했습니다. 2021년 1월
"넓고 편해요.
위치 좋고 가격은 더더욱 좋고.
규모가 크면서도 두 타워로 나눠져있어서 조금 더 아늑한 느낌이 드는 것 같아요.
조식도 나쁘지 않아요.","서울, 대한민국12 포스팅",정윤 김이 리뷰를 작성했습니다. 2020년 12월
"코로나 장기화로 온 가족이 힘들고 지쳐 있어서 뭔가 활력이 필료한 시점에 롯데호텔 이용하고 힐링되었습니다.
라운지의 정성스럽고 다양한 맛있는 음식과 직원들의 몸에베인 친절함, 깨끗한 룸시설 등 가까운 해외여행 다녀온 기분이었습니다.
특히 주변 청계천 광화문 덕수궁 산책 길등은 애들 교육에도 좋았습니다.
코로나 정국에 피로가 씻김 느낌 고마웠습니다.",1 포스팅,박셈2이 리뷰를 작성했습니다. 2020년 12월
"룸이 좁은 느낌을 받았지만 침구류는 편안했다.
샤워시 수압도 훌륭
코로나로 인하여 명동 무교동 북창동 다 활기차지 않아 아쉬웠다
직원분들의 환한 응대가 좋았던곳","서울, 대한민국106 포스팅3개의 유용한 리뷰 평가",URWANNY이 리뷰를 작성했습니다. 2020년 12월
"5인 가족이 호캉스를 했네요
도착시 주차대행부터 직원들의 친절함과 각종 식사 등의 품격이 매우 좋았습니다.
객실 청결함과 서비스도 다녀본 호텔에 비해 매우 좋았습니다.
코로나 상황이 당분간 유지되면 내년초에 다시한번 방문해야 겠습니다.",3 포스팅,YongDae이 리뷰를 작성했습니다. 2020년 11월
가족들과 함께한 호캉스인데 너무 만족했습니다. 전체적인 분위기나 인테리어가 고급스러우며 직원분들도 너무 친절해서 불편한점 하나없이 만족스럽습니다. 아침과 저녁식사는 식재료가 신선함이 느껴지며 매우 맛있습니다. 기회가 된다면 다시한번 방문하고싶네요.,1 포스팅,t w won이 리뷰를 작성했습니다. 2020년 11월
코로나로 해외여행을 못 가서 호캉스하러 갔는데 서비스도 좋고 호텔 전체도 깔끔해서 만족스러웠습니다. 명동이라 여기저기 놀러가기도 좋았구요. 다음에도 이용하고싶네요! ??,1 포스팅,듀듕듀듕이 리뷰를 작성했습니다. 2020년 11월
